Date,Value1,Value2
2013-06-24 08,9,10.0
2013-06-24 09,11,9.0
2013-06-24 10,8,7.0
2013-06-24 11,13,11.0
2013-06-24 12,20,14.0
2013-06-24 13,10,11.0
2013-06-24 14,12,6.0
2013-06-24 15,14,9.0
2013-06-24 16,13,11.0
2013-06-24 17,22,31.0
2013-06-24 18,24,38.0
2013-06-24 19,18,37.0
2013-06-24 20,10,17.0
2013-06-24 21,9,8.0
2013-06-24 22,8,4.0
2013-06-24 23,9,1.0
2013-06-25 00,3,1.0
2013-06-25 01,1,4.0
2013-06-25 02,6,0.0
2013-06-25 03,0,1.0
2013-06-25 04,1,1.0
2013-06-25 05,0,1.0
2013-06-25 06,2,3.0
2013-06-25 07,7,6.0
2013-06-25 08,19,8.0
2013-06-25 09,12,15.0
2013-06-25 10,12,7.0
2013-06-25 11,12,8.0
2013-06-25 12,6,14.0
2013-06-25 13,16,17.0
2013-06-25 14,15,12.0
2013-06-25 15,17,12.0
2013-06-25 16,20,24.0
2013-06-25 17,31,30.0
2013-06-25 18,37,43.0
2013-06-25 19,21,20.0
2013-06-25 20,19,16.0
2013-06-25 21,14,20.0
2013-06-25 22,11,15.0
2013-06-25 23,6,2.0
2013-06-26 00,4,2.0
2013-06-26 01,4,1.0
2013-06-26 02,1,1.0
2013-06-26 03,1,0.0
2013-06-26 04,1,0.0
2013-06-26 05,2,0.0
2013-06-26 06,8,2.0
2013-06-26 07,10,6.0
2013-06-26 08,19,8.0
2013-06-26 09,21,20.0
2013-06-26 10,14,13.0
2013-06-26 11,13,10.0
2013-06-26 12,21,19.0
2013-06-26 13,15,16.0
2013-06-26 14,17,13.0
2013-06-26 15,15,14.0
2013-06-26 16,15,16.0
2013-06-26 17,28,30.0
2013-06-26 18,36,61.0
2013-06-26 19,20,25.0
2013-06-26 20,12,17.0
2013-06-26 21,15,6.0
2013-06-26 22,4,7.0
2013-06-26 23,9,5.0
2013-06-27 00,4,3.0
2013-06-27 01,0,0.0
2013-06-27 02,0,0.0
2013-06-27 03,0,1.0
2013-06-27 04,0,0.0
2013-06-27 05,0,0.0
2013-06-27 06,7,1.0
2013-06-27 07,11,3.0
2013-06-27 08,16,5.0
2013-06-27 09,20,12.0
2013-06-27 10,13,11.0
2013-06-27 11,14,16.0
2013-06-27 12,15,13.0
2013-06-27 13,10,11.0
